#+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
# jac2dat - Convert .jac/.jca files to various data formats
# jac2dat v1.04 (2020-07-18)
# Perl v5.30.1
# Current time: 2020-07-18 17:45:34
#
# Jaewoong Jang
# jangj@korea.ac.kr
#+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

#---------------------------------------------------------------------
# Gamma-ray detector
#---------------------------------------------------------------------
# Detector ID:    det01
# Detector model: GEM (manufacturer: ORTEC, distributor: Seiko EG&G)
#---------------------------------------------------------------------
#---------------------------------------------------------------------
# Calibration functions
#---------------------------------------------------------------------
# Energy calibration date: 2018-04-19 14:19:21
# Energy (keV)   = 6.942824e-001 + 4.994878e-001*$ch + 6.919887e-008*$ch**2
# Peak FWHM (ch) = 2.076851e+000 + 8.814739e-003*sqrt($nrg) + 1.204853e-003*$nrg
#
# Efficiency calibration date: 2018-04-19 14:22:21
# Efficiency expression: fitted
# det_eff_knee: 180 keV
# det_eff_bef_knee (cnt/gam)  = exp(-3.824022e+001 + 1.427534e+001*ln($nrg) - 1.452642e+000*ln($nrg)**2)
# det_eff_from_knee (cnt/gam) = exp(1.470955e+000 - 1.018902e+000*ln($nrg) + 1.995309e-002*ln($nrg)**2)
#---------------------------------------------------------------------
#---------------------------------------------------------------------
# Time information
#---------------------------------------------------------------------
# Live time (duration): 1200 s
# Real time (duration): 1209 s
# Acquired time:        2019-01-17 11:15:30
#---------------------------------------------------------------------

#-----------------------------------------------------------------------------------------------------------------------------------------------
# Channel | Gamma energy | Peak FWHM | Peak efficiency | Count       | Count per second or "cps" | Gamma           | Gamma per second or "gps"
# (ch)    | (keV)        | (ch)      | (cnt gam^{-1})  | (cnt)       | (cnt sec^{-1})            | (gam)           | (gam sec^{-1})           
#-----------------------------------------------------------------------------------------------------------------------------------------------
1              1.1937703   2.0879203      0.0000000000             0                     0.00000           0.00000                     0.00000
2              1.6932583   2.0903613      0.0000000000             0                     0.00000           0.00000                     0.00000
3              2.1927464   2.0925457      0.0000000000             0                     0.00000           0.00000                     0.00000
4              2.6922347   2.0945580      0.0000000000          0.00                     0.00000           0.00000                     0.00000
5              3.1917231   2.0964444      0.0000000001          0.00                     0.00000           0.00000                     0.00000
6              3.6912117   2.0982337      0.0000000003          0.00                     0.00000           0.00000                     0.00000
7              4.1907004   2.0999450      0.0000000010          0.00                     0.00000           0.00000                     0.00000
8              4.6901892   2.1015919      0.0000000029          0.00                     0.00000           0.00000                     0.00000
9              5.1896782   2.1031845      0.0000000078          0.00                     0.00000           0.00000                     0.00000
10             5.6891673   2.1047305      0.0000000184          0.00                     0.00000           0.00000                     0.00000
11             6.1886566   2.1062359      0.0000000395          0.00                     0.00000           0.00000                     0.00000
12             6.6881460   2.1077054      0.0000000787          0.00                     0.00000           0.00000                     0.00000
13             7.1876355   2.1091432      0.0000001467          0.00                     0.00000           0.00000                     0.00000
14             7.6871252   2.1105523      0.0000002587          0.00                     0.00000           0.00000                     0.00000
15             8.1866150   2.1119356      0.0000004351          0.00                     0.00000           0.00000                     0.00000
16             8.6861049   2.1132955      0.0000007021          0.00                     0.00000           0.00000                     0.00000
17             9.1855950   2.1146338      0.0000010929          0.00                     0.00000           0.00000                     0.00000
18             9.6850852   2.1159523      0.0000016479          0.00                     0.00000           0.00000                     0.00000
19            10.1845756   2.1172526      0.0000024156          0.00                     0.00000           0.00000                     0.00000
20            10.6840661   2.1185360      0.0000034532          0.00                     0.00000           0.00000                     0.00000
21            11.1835567   2.1198036      0.0000048262          0.00                     0.00000           0.00000                     0.00000
22            11.6830475   2.1210565      0.0000066098          0.00                     0.00000           0.00000                     0.00000
